Week,Quarter,Posts,Photos_Taken,Boosts_Received,Replies_Received,New_Followers,Follows_Given,Top_Post_Type,Top_Post_Boosts,Top_Group_Tagged,Content_Pillar_Best,Notes
2026-W14,Q2,,,,,,,,,,,
2026-W15,Q2,,,,,,,,,,,
2026-W16,Q2,,,,,,,,,,,
2026-W17,Q2,,,,,,,,,,,
2026-W18,Q2,,,,,,,,,,,
2026-W19,Q2,,,,,,,,,,,
2026-W20,Q2,,,,,,,,,,,
2026-W21,Q2,,,,,,,,,,,
2026-W22,Q2,,,,,,,,,,,
2026-W23,Q2,,,,,,,,,,,
2026-W24,Q2,,,,,,,,,,,
2026-W25,Q2,,,,,,,,,,,
2026-W26,Q2,,,,,,,,,,,
2026-W27,Q3,,,,,,,,,,,
2026-W28,Q3,,,,,,,,,,,
2026-W29,Q3,,,,,,,,,,,
2026-W30,Q3,,,,,,,,,,,
2026-W31,Q3,,,,,,,,,,,
2026-W32,Q3,,,,,,,,,,,
2026-W33,Q3,,,,,,,,,,,
2026-W34,Q3,,,,,,,,,,,
2026-W35,Q3,,,,,,,,,,,
2026-W36,Q3,,,,,,,,,,,
2026-W37,Q3,,,,,,,,,,,
2026-W38,Q3,,,,,,,,,,,
2026-W39,Q3,,,,,,,,,,,
2026-W40,Q4,,,,,,,,,,,
2026-W41,Q4,,,,,,,,,,,
2026-W42,Q4,,,,,,,,,,,
2026-W43,Q4,,,,,,,,,,,
2026-W44,Q4,,,,,,,,,,,
2026-W45,Q4,,,,,,,,,,,
2026-W46,Q4,,,,,,,,,,,
2026-W47,Q4,,,,,,,,,,,
2026-W48,Q4,,,,,,,,,,,
2026-W49,Q4,,,,,,,,,,,
2026-W50,Q4,,,,,,,,,,,
2026-W51,Q4,,,,,,,,,,,
2026-W52,Q4,,,,,,,,,,,
2027-W01,Q1,,,,,,,,,,,
2027-W02,Q1,,,,,,,,,,,
2027-W03,Q1,,,,,,,,,,,
2027-W04,Q1,,,,,,,,,,,
2027-W05,Q1,,,,,,,,,,,
2027-W06,Q1,,,,,,,,,,,
2027-W07,Q1,,,,,,,,,,,
2027-W08,Q1,,,,,,,,,,,
2027-W09,Q1,,,,,,,,,,,
2027-W10,Q1,,,,,,,,,,,
2027-W11,Q1,,,,,,,,,,,
2027-W12,Q1,,,,,,,,,,,
2027-W13,Q1,,,,,,,,,,,
