Time,Q1 Weekday (Jan-Mar) Sunset ~1745,Q1 Saturday,Q1 Sunday (Batch Day),Q2 Weekday (Apr-Jun) Sunset ~1930,Q2 Saturday,Q2 Sunday (Batch Day),Q3 Weekday (Jul-Sep) Sunset ~1945,Q3 Saturday,Q3 Sunday (Batch Day),Q4 Weekday (Oct-Dec) Sunset ~1715,Q4 Saturday,Q4 Sunday (Batch Day)
0400,Wake + Hydrate,Wake + Hydrate,Sleep In,Wake + Hydrate,Wake + Hydrate,Sleep In,Wake + Hydrate,Wake + Hydrate,Sleep In,Wake + Hydrate,Wake + Hydrate,Sleep In
0415,Workout (Bike / Dumbbells),Pack Gear + Camera,Sleep In,Workout (Bike / Dumbbells),Pack Gear + Camera,Sleep In,Workout (Bike / Dumbbells),Pack Gear + Camera,Sleep In,Workout (Bike / Dumbbells),Pack Gear + Camera,Sleep In
0430,Workout (Bike / Dumbbells),Shower + Get Ready,Sleep In,Workout (Bike / Dumbbells),Shower + Get Ready,Sleep In,Workout (Bike / Dumbbells),Shower + Get Ready,Sleep In,Workout (Bike / Dumbbells),Shower + Get Ready,Sleep In
0445,Workout (Bike / Dumbbells),Drive to Balboa Park (20 min),Sleep In,Workout (Bike / Dumbbells),Drive to Balboa Park (20 min),Sleep In,Workout (Bike / Dumbbells),Drive to Balboa Park (20 min),Sleep In,Workout (Bike / Dumbbells),Drive to Balboa Park (20 min),Sleep In
0500,Cool Down + Stretch,Drive to Balboa Park,Sleep In,Cool Down + Stretch,Drive to Balboa Park,Sleep In,Cool Down + Stretch,Drive to Balboa Park,Sleep In,Cool Down + Stretch,Drive to Balboa Park,Sleep In
0515,Shower + Get Ready,Arrive — Bea Evenson Fountain,Sleep In,Shower + Get Ready,Arrive — Bea Evenson Fountain,Sleep In,Shower + Get Ready,Arrive — Bea Evenson Fountain,Sleep In,Shower + Get Ready,Arrive — Bea Evenson Fountain,Sleep In
0520,Leave House,Warm Up + Meet the Crew,Sleep In,Leave House,Warm Up + Meet the Crew,Sleep In,Leave House,Warm Up + Meet the Crew,Sleep In,Leave House,Warm Up + Meet the Crew,Sleep In
0530,Commute,CORE: November Project SD (6:29am),Wake + Hydrate,Commute,CORE: November Project SD (6:29am),Wake + Hydrate,Commute,CORE: November Project SD (6:29am),Wake + Hydrate,Commute,CORE: November Project SD (6:29am),Wake + Hydrate
0545,Work,November Project SD Workout,Slow Morning — Coffee + Breakfast,Work,November Project SD Workout,Slow Morning — Coffee + Breakfast,Work,November Project SD Workout,Slow Morning — Coffee + Breakfast,Work,November Project SD Workout,Slow Morning — Coffee + Breakfast
0600,Work,November Project SD Workout,Slow Morning,Work,November Project SD Workout,Slow Morning,Work,November Project SD Workout,Slow Morning,Work,November Project SD Workout,Slow Morning
0615,Work,November Project SD Workout,Slow Morning,Work,November Project SD Workout,Slow Morning,Work,November Project SD Workout,Slow Morning,Work,November Project SD Workout,Slow Morning
0630,Work,NPSD — Post-Workout Hang + Group Photos,Grocery Run,Work,NPSD — Post-Workout Hang + Group Photos,Grocery Run,Work,NPSD — Post-Workout Hang + Group Photos,Grocery Run,Work,NPSD — Post-Workout Hang + Group Photos,Grocery Run
0645,Work,NPSD — Community Time (this is where bonds form),Grocery Run,Work,NPSD — Community Time (this is where bonds form),Grocery Run,Work,NPSD — Community Time (this is where bonds form),Grocery Run,Work,NPSD — Community Time (this is where bonds form),Grocery Run
0700,Work,Drive to Seasonal Event,Grocery Run,Work,Drive to Seasonal Event,Grocery Run,Work,Drive to Seasonal Event,Grocery Run,Work,Drive to Seasonal Event,Grocery Run
0715,Work,SEASONAL: SD Day Hikers — Group Hike,Meal Prep Burritos,Work,SEASONAL: Aqua Adventures — Paddle to Mission Bay,Meal Prep Burritos,Work,SEASONAL: SDBC Saturday Ride (8:30am staging),Meal Prep Burritos,Work,SEASONAL: Surfrider Beach Cleanup — IB (9am),Meal Prep Burritos
0730,Work,SD Day Hikers — Group Hike,Meal Prep Burritos,Work,Aqua Adventures — Paddle Prep,Meal Prep Burritos,Work,SDBC Saturday Ride — Announcements,Meal Prep Burritos,Work,Surfrider Beach Cleanup,Meal Prep Burritos
0745,Work,SD Day Hikers — Group Hike,Meal Prep Burritos,Work,Aqua Adventures — Paddle Out,Meal Prep Burritos,Work,SDBC Saturday Ride — Roll Out,Meal Prep Burritos,Work,Surfrider Beach Cleanup,Meal Prep Burritos
0800,Work,SD Day Hikers — Trail Photos,Meal Prep Burritos,Work,Aqua Adventures — Bay Paddle + Photos,Meal Prep Burritos,Work,SDBC Saturday Group Ride,Meal Prep Burritos,Work,Surfrider Cleanup — Group Photos,Meal Prep Burritos
0815,Work,SD Day Hikers — Group Hike,Meal Prep Burritos,Work,Aqua Adventures — Bay Paddle + Photos,Meal Prep Burritos,Work,SDBC Saturday Group Ride,Batch Edit Photos — Pick Best from Week,Work,Surfrider Beach Cleanup,Batch Edit Photos — Pick Best from Week
0830,Work,SD Day Hikers — Group Hike,Batch Edit Photos — Pick Best from Week,Work,Aqua Adventures — Bay Paddle,Batch Edit Photos — Pick Best from Week,Work,SDBC Saturday Group Ride,Batch Edit Photos,Work,Cleanup Wrap-Up + Group Photo,Batch Edit Photos
0845,Work,SD Day Hikers — Summit + Group Photo,Batch Edit Photos,Work,Aqua Adventures — Paddle Back,Batch Edit Photos,Work,SDBC Saturday Group Ride,Batch Edit Photos,Work,Free Time — Explore IB Pier,Batch Edit Photos
0900,Work,SD Day Hikers — Post-Hike Hangout,Batch Edit Photos,Work,Aqua Adventures — Post-Paddle Hangout + Photos,Batch Edit Photos,Work,SDBC Saturday Group Ride,Schedule Week's Mastodon Posts (AI queue),Work,Free Time — IB Boardwalk Photos,Schedule Week's Mastodon Posts (AI queue)
0915,Work,Free Time — Explore Area Near Trailhead,Schedule Week's Mastodon Posts (AI queue),Work,Free Time — Mission Bay Walk + Photos,Schedule Week's Mastodon Posts (AI queue),Work,SDBC Saturday Ride — Mid-Ride Stop,Schedule Posts,Work,Free Time — IB Community,Schedule Posts
0930,Work,Free Time — Snap Photos,Schedule Posts,Work,Free Time — Mission Bay Photos,Schedule Posts,Work,SDBC Saturday Group Ride,Review AI Engagement — Approve Replies,Work,Drive Home (15 min),Review AI Engagement — Approve Replies
0945,Work,Free Time — Snap Photos,Review AI Engagement — Approve Replies,Work,Free Time — Snap Photos,Review AI Engagement — Approve Replies,Work,SDBC Saturday Group Ride,Review Engagement Tracker CSV,Work,Arrive Home,Review Engagement Tracker CSV
1000,Work,Lunch — Nearby Spot with Hiking Group,Review Engagement Tracker CSV,Work,Lunch — Mission Bay Area,Review Engagement Tracker CSV,Work,SDBC Saturday Ride — Return,Update Engagement Tracker CSV,Work,Free Time — Relax,Update Engagement Tracker CSV
1015,Work,Lunch + Food Photos,Update Engagement Tracker CSV,Work,Lunch + Food Photos,Update Engagement Tracker CSV,Work,SDBC Post-Ride Coffee + Community,Free Time — Personal Projects,Work,Free Time — Relax,Free Time — Personal Projects
